,term,weight
158,192,0.00010114837179366678
159,1922,0.00018687665279236478
160,1924,8.795226850086836e-05
161,1926,9.15644567224646e-05
162,1935,0.00010702276383017457
163,195,9.03885594459005e-05
164,196,6.477695124664916e-05
165,1965,7.572587091850382e-05
166,1971,7.233167948278239e-05
167,19782009,8.648344463272864e-05
168,198,0.00019296958951435037
169,1984,6.79714764168869e-05
170,1986,5.384877521461607e-05
171,1988,0.00011970992986006528
172,1989,6.428732903425383e-05
173,1992,0.00013702374239778694
174,1994,7.949053280849424e-05
175,1996,0.0001503883789895152
176,1examin,7.599126489992942e-05
177,1km,0.00012366075427361413
178,1m,0.00011566077426108458
179,1minut,0.00011989088766848554
180,1st,0.00019962198119741407
181,1x,7.068036030816237e-05
182,20,0.002725954690670543
183,200,0.0005145403824544591
184,2000,0.00021304971133029156
185,20000,7.452486937395475e-05
186,200000,9.453069660875814e-05
187,20002017,9.828305200051447e-05
188,2001,8.445752365755713e-05
189,2002,0.00023420177234856218
190,2003,9.748926451544262e-05
191,2004,0.00012693109598148512
192,2005,9.355039374931619e-05
193,20052015,0.000279625308934942
194,2006,7.7070337122659e-05
195,2007,0.00029514049811728044
196,2008,0.00031208682987009787
197,20082018,0.00019884705898613942
198,2009,0.00044071855528110136
199,20092017,0.00015219763053125212
200,201,0.00020881021655435981
201,2010,0.0006089630105345595
202,20102011,8.168291754012559e-05
203,20102018,9.924381226266328e-05
204,2011,0.0003108039333149334
205,2012,0.00014759946076325093
206,20122013,0.00011763683100821744
207,20122016,9.21220584998336e-05
208,2013,0.0004966993593942617
209,20132014,8.459582706031921e-05
210,2014,0.0003255628865171515
211,2015,0.0006460791937670455
212,20152016,0.00019317069588045346
213,20152021,0.00010858860281269849
214,20152025,8.225687627142464e-05
215,2016,0.0005935047081828601
216,20162021,0.00012116913355161494
217,2017,0.0007578074224202153
218,20172036,7.147508511872063e-05
219,2018,0.0006157286611204881
220,20182019,0.0003301963153318087
221,2019,0.0009510457126141014
222,20192020,0.0003228282557950114
223,2020,0.0014123429478969077
224,20202021,0.00022859992253545304
225,2020bi,7.7070337122659e-05
226,2021,0.0007034412230489887
227,2021five,5.3467294699223474e-05
228,203,5.821446259461129e-05
229,2030,0.00011499215579860892
230,204,6.133763162228488e-05
231,2045,0.00023149586889626607
232,2060,9.523624357612115e-05
