,term,weight
174,authent,0.011421371550560906
175,authentication,0.0017578873740713278
176,authors,0.001399716237746947
177,autocad,0.001071797419626948
178,autom,0.011364080448210304
179,automat,0.00404765142681073
180,avail,0.006123363716336513
181,averag,0.003619142526656322
182,awar,0.0019475640558228896
183,away,0.0015402894403827327
184,bachelor,0.026009251612480435
185,background,0.004375393772587732
186,backward,0.0024012253491006693
187,badges,0.0019475640558228896
188,bahru,0.0016872742170661928
189,balanc,0.004077934484131328
190,bane,0.0017816959143628283
191,bank,0.0015402894403827327
192,bas,0.01251073052443217
193,base,0.02530127043512271
194,basic,0.0017659486880005112
195,becaus,0.008243132330080085
196,becom,0.007508374099064638
197,begin,0.001399716237746947
198,behav,0.001399716237746947
199,behavior,0.006212634594239853
200,behaviour,0.002784514623956397
201,benefit,0.002291478692065184
202,best,0.004846279864088017
203,better,0.00608115276936998
204,big,0.005547169767378594
205,bim,0.010717974196269478
206,biometr,0.0017578873740713278
207,bite,0.0013634757860846686
208,blackboard,0.005419700849700782
209,blend,0.005449109119411926
210,bluetooth,0.00687443607619555
211,blur,0.0011866362709169395
212,book,0.0035587387901172955
213,boon,0.0011866362709169395
214,build,0.008365884993456882
215,building,0.001071797419626948
216,buildings,0.001071797419626948
217,busi,0.002744617224750663
218,calcul,0.005933181354584697
219,came,0.002842581620944405
220,caml,0.004952018582368089
221,campus,0.003373447163919031
222,capabl,0.0043302095550709005
223,capac,0.002920296670651369
224,capacity,0.001071797419626948
225,card,0.0012006126745503346
226,care,0.00263195235237224
227,carri,0.006202267177100959
228,case,0.001071797419626948
229,categori,0.0016380187331701379
230,caus,0.0038842077290482087
231,cent,0.0018265974932278
232,center,0.0018594029161901574
233,centr,0.003897167508724535
234,centuri,0.002026478437260784
235,challeng,0.006169513191553117
236,chang,0.006595260279707255
237,changed,0.003008098303758642
238,charact,0.007203676047302008
239,character,0.0018265974932278
240,characterist,0.005106093521109837
241,characteristic,0.0034883608706426173
242,cheaper,0.002291478692065184
243,chemistri,0.0021654699552096372
